seed,model,class,precision,recall,f1,support
2,lightgbm,ddos,0.9695373768352213,0.9816464646464661,0.9755543461144802,499.9999999998965
2,lightgbm,dos,0.9539462959777603,0.9583814693669377,0.9561587395260357,499.9999999998435
2,lightgbm,injection,0.9469992381812756,0.9515189033189042,0.9492536909297685,500.0000000000076
2,lightgbm,macro avg,0.9719829334184357,0.9391730714019358,0.9533184910063773,3499.4650860396787
2,lightgbm,micro avg,0.971525810937288,0.9391681138387485,0.9550729727793363,3499.4650860396787
2,lightgbm,normal,0.9825692052498705,0.9716059869284154,0.97705684343287,499.4650860399464
2,lightgbm,password,0.9673615009585109,0.9621174419262658,0.9647323451259197,499.99999999999596
2,lightgbm,scanning,1.0,0.999,0.9994997498749375,500.0
2,lightgbm,weighted avg,0.9719813152441018,0.9391681138387485,0.9533148624586447,3499.4650860396787
2,lightgbm,xss,0.9834669167264111,0.7499412336265623,0.8509737220406295,499.99999999998875
2,catboost,ddos,0.9751199253761467,0.9755996478932303,0.975359727647816,499.9999999998965
2,catboost,dos,0.9669442738887899,0.9427120529929293,0.9546744183608471,499.9999999998435
2,catboost,injection,0.9092162544287751,0.9529586652236662,0.9305737061283387,500.0000000000076
2,catboost,macro avg,0.9689563025151591,0.9195704276655972,0.9401512965761852,3499.4650860396787
2,catboost,micro avg,0.9676078307189511,0.9195619636568197,0.9429732920878484,3499.4650860396787
2,catboost,normal,0.966794515775651,0.9749428901740076,0.9708516059139362,499.4650860399464
2,catboost,password,0.9842249981612939,0.9020215415558156,0.9413320384008413,499.99999999999596
2,catboost,scanning,0.9948628898053686,1.0,0.9974248304377789,500.0
2,catboost,weighted avg,0.9689566329570627,0.9195619636568197,0.9401466038521137,3499.4650860396787
2,catboost,xss,0.9855312601700879,0.688758195819531,0.8108427491437387,499.99999999998875
3,rf,ddos,0.9620915600773674,0.9867131313131335,0.9742468088749636,499.9999999998965
3,rf,dos,0.9701356544045957,0.9442607581562241,0.9570233443104775,499.9999999998435
3,rf,injection,0.9731226283164712,0.9261284704184725,0.9490441489202079,500.0000000000076
3,rf,macro avg,0.9811196295774708,0.9340306826861334,0.955958358403132,3499.4650860396787
3,rf,micro avg,0.9808499695175603,0.9340251894741325,0.9568650721927411,3499.4650860396787
3,rf,normal,0.9869108668854464,0.9699678707896702,0.9783660211356351,499.4650860399464
3,rf,password,0.9868632874254911,0.8957775427441691,0.9391169642855072,499.99999999999596
3,rf,scanning,1.0,0.998,0.998998998998999,500.0
3,rf,weighted avg,0.9811187443525573,0.9340251894741325,0.9559549332591988,3499.4650860396787
3,rf,xss,0.9887134099329241,0.8173670053812642,0.894912222296134,499.99999999998875
3,xgboost,ddos,0.9662639746343705,0.9863333333333357,0.9761955146532435,499.9999999998965
3,xgboost,dos,0.962061023014417,0.9563632754342247,0.9592036880284546,499.9999999998435
3,xgboost,injection,0.9515716208085524,0.9506128715728729,0.9510920045737453,500.0000000000076
3,xgboost,macro avg,0.9774428010014892,0.9319542024835211,0.9524961816623909,3499.4650860396787
3,xgboost,micro avg,0.97710174071159,0.9319480858299731,0.9539909165880281,3499.4650860396787
3,xgboost,normal,0.9906808760015174,0.9719700127370255,0.9812362546906304,499.4650860399464
3,xgboost,password,0.9928863005201365,0.8901024695052876,0.9386891330414148,499.99999999999596
3,xgboost,scanning,1.0,0.998,0.998998998998999,500.0
3,xgboost,weighted avg,0.9774407774833388,0.9319480858299731,0.9524917885720471,3499.4650860396787
3,xgboost,xss,0.9786358120314302,0.770297454801901,0.862057677650249,499.99999999998875
3,lightgbm,ddos,0.970690990557537,0.9738895850393567,0.9722876571523356,499.9999999998965
3,lightgbm,dos,0.9480349351715887,0.9622735789755212,0.9551011926141041,499.9999999998435
3,lightgbm,injection,0.9086260100878533,0.9276940115440125,0.9180610115469469,500.0000000000076
3,lightgbm,macro avg,0.9683166933354569,0.9266047420316198,0.9451004214543662,3499.4650860396787
3,lightgbm,micro avg,0.9677247122033714,0.9265971762603289,0.9467144852052594,3499.4650860396787
3,lightgbm,normal,0.9927373176474311,0.9761008375738538,0.9843487893371995,499.4650860399464
3,lightgbm,password,0.9924781048388154,0.9008457245623512,0.9444445198247723,499.99999999999596
3,lightgbm,scanning,0.998489301623175,0.998,0.9982445908523184,500.0
3,lightgbm,weighted avg,0.9683129604984281,0.9265971762603289,0.94509442210893,3499.4650860396787
3,lightgbm,xss,0.9671601934217985,0.7474294565262437,0.8432151888528867,499.99999999998875
3,catboost,ddos,0.9891619191118922,0.9482000000000015,0.9682479277097087,499.9999999998965
3,catboost,dos,0.9642447014629082,0.965342253713788,0.9647931654435805,499.9999999998435
3,catboost,injection,0.9004117792732057,0.9519352525252532,0.9254569470678002,500.0000000000076
3,catboost,macro avg,0.9668488957446918,0.9254122335020798,0.9430232597333645,3499.4650860396787
3,catboost,micro avg,0.9648857438809048,0.9254027486429226,0.9447318999668565,3499.4650860396787
3,catboost,normal,0.9358674676946311,0.9874632098071239,0.9609732787127159,499.4650860399464
3,catboost,password,0.9985564296306344,0.8857947008578126,0.9388016697769442,499.99999999999596
3,catboost,scanning,1.0,0.998,0.998998998998999,500.0
3,catboost,weighted avg,0.9668536314394213,0.9254027486429226,0.9430205159666732,3499.4650860396787
3,catboost,xss,0.9796999730395716,0.7411502176105794,0.8438908304238024,499.99999999998875
4,rf,ddos,0.9750895856091313,0.9480000000000014,0.9613539941922796,499.9999999998965
4,rf,dos,0.9674814721036191,0.9534711335154218,0.9604252110785788,499.9999999998435
4,rf,injection,0.961770955260544,0.9385343145743159,0.9500105678824772,500.0000000000076
4,rf,macro avg,0.9729427935054115,0.941494038449325,0.9562897066836594,3499.4650860396787
4,rf,micro avg,0.972592017827943,0.9414863226840667,0.9567864208648476,3499.4650860396787
4,rf,normal,0.9451112423272864,0.991971410791105,0.9679745269482131,499.4650860399464
